mode,percent,macro_auroc,macro_f1,ece
remove,5.0,0.8139093304280881,0.3543130629614586,0.234322192542957
remove,15.0,0.8104962266393344,0.3493808552838663,0.2393715247307938
remove,35.0,0.806779421155132,0.3390865101426658,0.2439173485415209
remove,60.0,0.7963322390007057,0.3212808952199474,0.2536813007736938
select,2.0,0.621255332010444,0.1696778742012563,0.2343104461352717
select,5.0,0.6770790039501708,0.1957828488179071,0.2076916636385683
select,10.0,0.7194051483707462,0.2244925930534431,0.2230335891084329
select,20.0,0.7549913879494711,0.2712390964681616,0.2137894759799119
select,40.0,0.7857630993784228,0.3113024752981922,0.2279865995018372
select,80.0,0.8035622438608941,0.34306610052187164,0.22712608479660767
